galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
UGC02885_rotmod,192.36284178202473,579913694392.0485,128140681869.6417,402977368384.16034,48795644138.246376,0.08414294163099771,3.1448043080815795
UGC06446_rotmod,40.67484708565331,3710883223.0736456,2600205520.124248,1110677702.9493966,0.0,0.0,0.42714996732116933
UGC03580_rotmod,65.03457306482235,21253724451.00785,7658707962.008811,10350217193.050966,3244799295.9480715,0.15266967930386446,1.3514312393674555
UGC08550_rotmod,25.458890849026957,907471911.1779222,605360038.299042,302111872.8788802,0.0,0.0,0.49906147377643695
UGC05999_rotmod,49.18298036521337,12545009951.93555,8312809372.338603,4232200579.596946,0.0,0.0,0.5091179636188772
F568-V1_rotmod,50.657817993896124,9817499531.149529,5321163641.006958,4496335890.142572,0.0,0.0,0.8449910947094462
UGC12506_rotmod,143.2600281696793,236810339382.44577,79280037584.08365,157530301798.36212,0.0,0.0,1.9870109374164586
D564-8_rotmod,10.711509727046527,77148229.6273317,35376060.84056732,41772168.78676437,0.0,0.0,1.1808032831869835
NGC1705_rotmod,25.272669859628405,812857411.7683493,285664515.15792483,527192896.6104244,0.0,0.0,1.8454966180135277
F568-1_rotmod,61.123573945094066,14591627230.709446,6913938835.38999,7677688395.319459,0.0,0.0,1.1104651889629262
NGC6789_rotmod,18.676923447777625,98645135.8273222,23258706.85453183,75386428.97279038,0.0,0.0,3.2412132559339493
NGC2915_rotmod,26.115275380769354,1574649876.0521543,924412147.9205872,650237728.131567,0.0,0.0,0.7034067321532284
NGC2403_rotmod,61.82084643145227,17967401046.551895,7713308448.592485,10254092597.959412,0.0,0.0,1.3294026378305364
F565-V2_rotmod,28.962255435362703,2217662552.790262,1503721764.6778018,713940788.1124599,0.0,0.0,0.47478250623407975
UGC12632_rotmod,40.13996098427515,4216071591.774102,2445225160.4670124,1770846431.3070889,0.0,0.0,0.7242058767990411
